,sent_clean
1122,there was a remarkable expression in it now a kind of serious delight of which he felt ashamed and which he struggled to repress
1123,he sat down to the dinner that had been hoarding for him by the fire and when she asked him faintly what news which was not until after a long silence he appeared embarrassed how to answer
1124,is it good she said or bad to help him
1125,bad he answered
1126,we are quite ruined
1127,no there is hope yet caroline
1128,if he relents she said amazed there is nothing is past hope if such a miracle has happened
1129,he is past relenting said her husband
1130,he is dead
1131,she was a mild and patient creature if her face spoke truth but she was thankful in her soul to hear it and she said so with clasped hands
1132,she prayed forgiveness the next moment and was sorry but the first was the emotion of her heart
1133,what the half drunken woman whom i told you of last night said to me when i tried to see him and obtain a week own delay and what i thought was a mere excuse to avoid me turns out to have been quite true he was not only very ill but dying then
1134,to whom will our debt be transferred
1135,i do not know but before that time we shall be ready with the money and even though we were not it would be a bad fortune indeed to find so merciless a creditor in his successor we may sleep to night with light hearts caroline
1136,yes
1137,soften it as they would their hearts were lighter
1138,the children own faces hushed and clustered round to hear what they so little understood were brighter and it was a happier house for this man own death
1139,the only emotion that the ghost could show him caused by the event was one of pleasure
1140,let me see some tenderness connected with a death said scrooge or that dark chamber spirit which we left just now will be for ever present to me
1141,the ghost conducted him through several streets familiar to his feet and as they went along scrooge looked here and there to find himself but nowhere was he to be seen
1142,they entered poor bob cratchit own house the dwelling he had visited before and found the mother and the children seated round the fire
1143,quiet
1144,very quiet
1145,the noisy little cratchits were as still as statues in one corner and sat looking up at peter who had a book before him
1146,the mother and her daughters were engaged in sewing
1147,but surely they were very quiet
1148,and he took a child and set him in the midst of them
1149,where had scrooge heard those words
1150,he had not dreamed them
1151,the boy must have read them out as he and the spirit crossed the threshold
1152,why did he not go on
1153,the mother laid her work upon the table and put her hand up to her face
1154,the colour hurts my eyes she said
1155,the colour
1156,ah poor tiny tim
1157,they are better now again said cratchit own wife
1158,it makes them weak by candle light and i would not show weak eyes to your father when he comes home for the world it must be near his time
1159,past it rather peter answered shutting up his book
1160,but i think he has walked a little slower than he used these few last evenings mother
1161,they were very quiet again
1162,at last she said and in a steady cheerful voice that only faltered once
1163,i have known him walk with i have known him walk with tiny tim upon his shoulder very fast indeed
1164,and so have i cried peter
1165,often
1166,and so have i exclaimed another
1167,so had all
1168,but he was very light to carry she resumed intent upon her work and his father loved him so that it was no trouble no trouble and there is your father at the door
1169,she hurried out to meet him and little bob in his comforter he had need of it poor fellow came in
1170,his tea was ready for him on the hob and they all tried who should help him to it most
1171,then the two young cratchits got upon his knees and laid each child a little cheek against his face as if they said do not mind it father do not be grieved
1172,bob was very cheerful with them and spoke pleasantly to all the family
1173,he looked at the work upon the table and praised the industry and speed of mrs cratchit and the girls
1174,they would be done long before sunday he said
1175,sunday you went to day then robert said his wife
1176,yes my dear returned bob
1177,i wish you could have gone it would have done you good to see how green a place it is but you see it often i promised him that i would walk there on a sunday my little little child cried bob
1178,my little child
1179,he broke down all at once
1180,he could not help it
1181,if he could have helped it he and his child would have been farther apart perhaps than they were
1182,he left the room and went up stairs into the room above which was lighted cheerfully and hung with christmas
1183,there was a chair set close beside the child and there were signs of some one having been there lately
1184,poor bob sat down in it and when he had thought a little and composed himself he kissed the little face
1185,he was reconciled to what had happened and went down again quite happy
1186,they drew about the fire and talked the girls and mother working still
1187,bob told them of the extraordinary kindness of mr scrooge own nephew whom he had scarcely seen but once and who meeting him in the street that day and seeing that he looked a little just a little down you know said bob inquired what had happened to distress him
1188,on which said bob for he is the pleasantest spoken gentleman you ever heard i told him i am heartily sorry for it mr cratchit he said and heartily sorry for your good wife by the bye how he ever knew that i do not know
1189,knew what my dear
1190,why that you were a good wife replied bob
1191,everybody knows that said peter
1192,very well observed my boy cried bob
1193,i hope they do heartily sorry he said for your good wife if i can be of service to you in any way he said giving me his card that is where i live pray come to me now it was not cried bob for the sake of anything he might be able to do for us so much as for his kind way that this was quite delightful it really seemed as if he had known our tiny tim and felt with us
1194,i sure he is a good soul said mrs cratchit
1195,you would be surer of it my dear returned bob if you saw and spoke to him i should not be at all surprised mark what i say if he got peter a better situation
1196,only hear that peter said mrs cratchit
1197,and then cried one of the girls peter will be keeping company with some one and setting up for himself
1198,get along with you retorted peter grinning
1199,it is just as likely as not said bob one of these days though there is plenty of time for that my dear but however and whenever we part from one another i am sure we shall none of us forget poor tiny tim shall we or this first parting that there was among us
1200,never father cried they all
1201,and i know said bob i know my dears that when we recollect how patient and how mild he was although he was a little little child we shall not quarrel easily among ourselves and forget poor tiny tim in doing it
1202,no never father they all cried again
1203,i am very happy said little bob i am very happy
1204,mrs cratchit kissed him his daughters kissed him the two young cratchits kissed him and peter and himself shook hands
1205,spirit of tiny tim thy childish essence was from god
1206,spectre said scrooge something informs me that our parting moment is at hand i know it but i know not how tell me what man that was whom we saw lying dead
1207,the ghost of christmas yet to come conveyed him as before though at a different time he thought indeed there seemed no order in these latter visions save that they were in the future into the resorts of business men but showed him not himself
1208,indeed the spirit did not stay for anything but went straight on as to the end just now desired until besought by scrooge to tarry for a moment
1209,this court said scrooge through which we hurry now is where my place of occupation is and has been for a length of time i see the house let me behold what i shall be in days to come
1210,the spirit stopped the hand was pointed elsewhere
1211,the house is yonder scrooge exclaimed
1212,why do you point away
1213,the inexorable finger underwent no change
1214,scrooge hastened to the window of his office and looked in
1215,it was an office still but not his
1216,the furniture was not the same and the figure in the chair was not himself
1217,the phantom pointed as before
1218,he joined it once again and wondering why and whither he had gone accompanied it until they reached an iron gate
1219,he paused to look round before entering
1220,a churchyard
1221,here then the wretched man whose name he had now to learn lay underneath the ground
1222,it was a worthy place
1223,walled in by houses overrun by grass and weeds the growth of vegetation own death not life choked up with too much burying fat with repleted appetite
1224,a worthy place
1225,the spirit stood among the graves and pointed down to one
1226,he advanced towards it trembling
1227,the phantom was exactly as it had been but he dreaded that he saw new meaning in its solemn shape
1228,before i draw nearer to that stone to which you point said scrooge answer me one question are these the shadows of the things that will be or are they shadows of things that may be only
1229,still the ghost pointed downward to the grave by which it stood
1230,men own courses will foreshadow certain ends to which if persevered in they must lead said scrooge
1231,but if the courses be departed from the ends will change say it is thus with what you show me
1232,the spirit was immovable as ever
1233,scrooge crept towards it trembling as he went and following the finger read upon the stone of the neglected grave his own name ebenezer scrooge
1234,am i that man who lay upon the bed he cried upon his knees
1235,the finger pointed from the grave to him and back again
1236,no spirit oh no no
1237,the finger still was there
1238,spirit he cried tight clutching at its robe hear me i am not the man i was i will not be the man i must have been but for this intercourse why show me this if i am past all hope
1239,for the first time the hand appeared to shake
1240,good spirit he pursued as down upon the ground he fell before it your nature intercedes for me and pities me assure me that i yet may change these shadows you have shown me by an altered life
1241,the kind hand trembled
1242,i will honour christmas in my heart and try to keep it all the year i will live in the past the present and the future the spirits of all three shall strive within me i will not shut out the lessons that they teach oh tell me i may sponge away the writing on this stone
1243,in his agony he caught the spectral hand
1244,it sought to free itself but he was strong in his entreaty and detained it
1245,the spirit stronger yet repulsed him
1246,holding up his hands in a last prayer to have his fate reversed he saw an alteration in the phantom own hood and dress
1247,it shrunk collapsed and dwindled down into a bedpost
1248,the end of it
1249,yes and the bedpost was his own
1250,the bed was his own the room was his own
1251,best and happiest of all the time before him was his own to make amends in
1252,i will live in the past the present and the future
1253,scrooge repeated as he scrambled out of bed
1254,the spirits of all three shall strive within me oh jacob marley heaven and the christmas time be praised for this i say it on my knees old jacob on my knees
1255,he was so fluttered and so glowing with his good intentions that his broken voice would scarcely answer to his call
1256,he had been sobbing violently in his conflict with the spirit and his face was wet with tears
1257,they are not torn down cried scrooge folding one of his bed curtains in his arms they are not torn down rings and all they are here i am here the shadows of the things that would have been may be dispelled they will be i know they will
1258,his hands were busy with his garments all this time turning them inside out putting them on upside down tearing them mislaying them making them parties to every kind of extravagance
1259,i do not know what to do cried scrooge laughing and crying in the same breath and making a perfect laocoon of himself with his stockings
1260,i am as light as a feather i am as happy as an angel i am as merry as a schoolboy i am as giddy as a drunken man a merry christmas to everybody a happy new year to all the world hallo here whoop hallo
1261,he had frisked into the sitting room and was now standing there perfectly winded
1262,there is the saucepan that the gruel was in cried scrooge starting off again and going round the fireplace
1263,there is the door by which the ghost of jacob marley entered there is the corner where the ghost of christmas present sat there is the window where i saw the wandering spirits it is all right it is all true it all happened ha ha ha
1264,really for a man who had been out of practice for so many years it was a splendid laugh a most illustrious laugh
1265,the father of a long long line of brilliant laughs
1266,i do not know what day of the month it is said scrooge
1267,i do not know how long I have been among the spirits i do not know anything i quite a baby never mind i do not care I would rather be a baby hallo whoop hallo here
1268,he was checked in his transports by the churches ringing out the lustiest peals he had ever heard
1269,clash clang hammer ding dong bell
1270,bell dong ding hammer clang clash
1271,oh glorious glorious
1272,running to the window he opened it and put out his head
1273,no fog no mist clear bright jovial stirring cold cold piping for the blood to dance to golden sunlight heavenly sky sweet fresh air merry bells
1274,oh glorious
1275,glorious
1276,what is to day cried scrooge calling downward to a boy in sunday clothes who perhaps had loitered in to look about him
1277,eh returned the boy with all his might of wonder
1278,what is to day my fine fellow said scrooge
1279,to day replied the boy
1280,why christmas day
1281,it is christmas day said scrooge to himself
1282,i have not missed it the spirits have done it all in one night they can do anything they like of course they can of course they can hallo my fine fellow
1283,hallo returned the boy
1284,do you know the poulterer own in the next street but one at the corner
1285,scrooge inquired
1286,i should hope i did replied the lad
1287,an intelligent boy said scrooge
1288,a remarkable boy do you know whether they have sold the prize turkey that was hanging up there not the little prize turkey the big one
1289,what the one as big as me returned the boy
1290,what a delightful boy said scrooge
1291,it is a pleasure to talk to him yes my buck
1292,it is hanging there now replied the boy
1293,is it said scrooge
1294,go and buy it
1295,walk er exclaimed the boy
1296,no no said scrooge i am in earnest go and buy it and tell them to bring it here that i may give them the direction where to take it come back with the man and i give you a shilling come back with him in less than five minutes and i give you half a crown
1297,the boy was off like a shot
1298,he must have had a steady hand at a trigger who could have got a shot off half so fast
1299,i send it to bob cratchit own whispered scrooge rubbing his hands and splitting with a laugh
1300,he shall not know who sends it it is twice the size of tiny tim joe miller never made such a joke as sending it to bob own will be
1301,the hand in which he wrote the address was not a steady one but write it he did somehow and went down stairs to open the street door ready for the coming of the poulterer own man
1302,as he stood there waiting his arrival the knocker caught his eye
1303,i shall love it as long as i live cried scrooge patting it with his hand
1304,i scarcely ever looked at it before what an honest expression it has in its face it is a wonderful knocker here is the turkey hallo whoop how are you merry christmas
1305,it was a turkey
1306,he never could have stood upon his legs that bird
1307,he would have snapped them short off in a minute like sticks of sealing wax
1308,why it is impossible to carry that to camden town said scrooge
1309,you must have a cab
1310,the chuckle with which he said this and the chuckle with which he paid for the turkey and the chuckle with which he paid for the cab and the chuckle with which he recompensed the boy were only to be exceeded by the chuckle with which he sat down breathless in his chair again and chuckled till he cried
1311,shaving was not an easy task for his hand continued to shake very much and shaving requires attention even when you do not dance while you are at it
1312,but if he had cut the end of his nose off he would have put a piece of sticking plaister over it and been quite satisfied
1313,he dressed himself all in his best and at last got out into the streets
1314,the people were by this time pouring forth as he had seen them with the ghost of christmas present and walking with his hands behind him scrooge regarded every one with a delighted smile
1315,he looked so irresistibly pleasant in a word that three or four good humoured fellows said good morning sir a merry christmas to you
1316,and scrooge said often afterwards that of all the blithe sounds he had ever heard those were the blithest in his ears
1317,he had not gone far when coming on towards him he beheld the portly gentleman who had walked into his counting house the day before and said scrooge and marley own i believe
1318,it sent a pang across his heart to think how this old gentleman would look upon him when they met but he knew what path lay straight before him and he took it
1319,my dear sir said scrooge quickening his pace and taking the old gentleman by both his hands
1320,how do you do i hope you succeeded yesterday it was very kind of you a merry christmas to you sir
1321,mr scrooge
1322,yes said scrooge
1323,that is my name and i fear it may not be pleasant to you allow me to ask your pardon and will you have the goodness here scrooge whispered in his ear
1324,lord bless me cried the gentleman as if his breath were taken away
1325,my dear mr scrooge are you serious
1326,if you please said scrooge
1327,not a farthing less a great many back payments are included in it i assure you will you do me that favour
1328,my dear sir said the other shaking hands with him
1329,i do not know what to say to such munifi
1330,do not say anything please retorted scrooge
1331,come and see me will you come and see me
1332,i will cried the old gentleman
1333,and it was clear he meant to do it
1334,thankee said scrooge
1335,i am much obliged to you i thank you fifty times bless you
1336,he went to church and walked about the streets and watched the people hurrying to and fro and patted children on the head and questioned beggars and looked down into the kitchens of houses and up to the windows and found that everything could yield him pleasure
1337,he had never dreamed that any walk that anything could give him so much happiness
1338,in the afternoon he turned his steps towards his nephew own house
1339,he passed the door a dozen times before he had the courage to go up and knock
1340,but he made a dash and did it
1341,is your master at home my dear said scrooge to the girl
1342,nice girl
1343,very
1344,yes sir
1345,where is he my love said scrooge
1346,he is in the dining room sir along with mistress i show you up stairs if you please
1347,thankee he knows me said scrooge with his hand already on the dining room lock
1348,i go in here my dear
1349,he turned it gently and sidled his face in round the door
1350,they were looking at the table which was spread out in great array for these young housekeepers are always nervous on such points and like to see that everything is right
1351,fred said scrooge
1352,dear heart alive how his niece by marriage started
1353,scrooge had forgotten for the moment about her sitting in the corner with the footstool or he would not have done it on any account
1354,why bless my soul cried fred who is that
1355,it is i your uncle scrooge i have come to dinner will you let me in fred
1356,let him in
1357,it is a mercy he did not shake his arm off
1358,he was at home in five minutes
1359,nothing could be heartier
1360,his niece looked just the same
1361,so did topper when he came
1362,so did the plump sister when she came
1363,so did every one when they came
1364,wonderful party wonderful games wonderful unanimity won der ful happiness
1365,but he was early at the office next morning
1366,oh he was early there
1367,if he could only be there first and catch bob cratchit coming late
1368,that was the thing he had set his heart upon
1369,and he did it yes he did
1370,the clock struck nine
1371,no bob
1372,a quarter past
1373,no bob
1374,he was full eighteen minutes and a half behind his time
1375,scrooge sat with his door wide open that he might see him come into the tank
1376,his hat was off before he opened the door his comforter too
1377,he was on his stool in a jiffy driving away with his pen as if he were trying to overtake nine of the clock
1378,hallo growled scrooge in his accustomed voice as near as he could feign it
1379,what do you mean by coming here at this time of day
1380,i am very sorry sir said bob
1381,i am behind my time
1382,you are repeated scrooge
1383,yes i think you are step this way sir if you please
1384,it is only once a year sir pleaded bob appearing from the tank
1385,it shall not be repeated i was making rather merry yesterday sir
1386,now i tell you what my friend said scrooge i am not going to stand this sort of thing any longer and therefore he continued leaping from his stool and giving bob such a dig in the waistcoat that he staggered back into the tank again and therefore i am about to raise your salary
1387,bob trembled and got a little nearer to the ruler
1388,he had a momentary idea of knocking scrooge down with it holding him and calling to the people in the court for help and a strait waistcoat
1389,a merry christmas bob said scrooge with an earnestness that could not be mistaken as he clapped him on the back
1390,a merrier christmas bob my good fellow than i have given you for many a year i raise your salary and endeavour to assist your struggling family and we will discuss your affairs this very afternoon over a christmas bowl of smoking bishop bob make up the fires and buy another coal scuttle before you dot another i bob cratchit
1391,scrooge was better than his word
1392,he did it all and infinitely more and to tiny tim who did not die he was a second father
1393,he became as good a friend as good a master and as good a man as the good old city knew or any other good old city town or borough in the good old world
1394,some people laughed to see the alteration in him but he let them laugh and little heeded them for he was wise enough to know that nothing ever happened on this globe for good at which some people did not have their fill of laughter in the outset and knowing that such as these would be blind anyway he thought it quite as well that they should wrinkle up their eyes in grins as have the malady in less attractive forms
1395,his own heart laughed and that was quite enough for him
1396,he had no further intercourse with spirits but lived upon the total abstinence principle ever afterwards and it was always said of him that he knew how to keep christmas well if any man alive possessed the knowledge
1397,may that be truly said of us and all of us
1398,and so as tiny tim observed god bless us every one
